problem_id,problem_name,problem_url,hint_video_url,video_duration
6754,Consecutive Number Sum,http://www.scaler.com/admin/new_problems/6754,https://scaler-production-domestic.s3.ap-south-1.amazonaws.com/videos/videos/000/000/029/original/Consecutive_number_sum.MP4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIDNNIRGHAQUQRWYA%2F20211227%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20211227T012539Z&X-Amz-Expires=561600&X-Amz-SignedHeaders=host&X-Amz-Signature=b3fdee79e98fc24ba30bfbe93d7965952cd1af5e49aa9398af3b88ad0cebec8e,6.57
840,Repeated Subtraction,http://www.scaler.com/admin/new_problems/840,https://scaler-production-domestic.s3.ap-south-1.amazonaws.com/videos/videos/000/000/087/original/REPEATED_SUBTRACTION.MP4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIDNNIRGHAQUQRWYA%2F20211227%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20211227T012539Z&X-Amz-Expires=561600&X-Amz-SignedHeaders=host&X-Amz-Signature=1a5af628db76261a4508da48e5d22d9b14d6202f62bbdd8a5adaa45eb9d4807e,4.58
900,Closest Palindrome,http://www.scaler.com/admin/new_problems/900,https://scaler-production-domestic.s3.ap-south-1.amazonaws.com/videos/videos/000/000/091/original/ClosestPalindrome.MP4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIDNNIRGHAQUQRWYA%2F20211227%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20211227T012539Z&X-Amz-Expires=561600&X-Amz-SignedHeaders=host&X-Amz-Signature=2a79243960460b7f2dc80cad0059295ec49d2fbc411798048191454fcb27d240,6.3
4370,Middle element of linked list,http://www.scaler.com/admin/new_problems/4370,https://scaler-production-domestic.s3.ap-south-1.amazonaws.com/videos/videos/000/000/128/original/Middle_Element_Of_Linked_List_Conv.m4v?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIDNNIRGHAQUQRWYA%2F20211227%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20211227T012539Z&X-Amz-Expires=561600&X-Amz-SignedHeaders=host&X-Amz-Signature=427e018f81c6994a96686142a893f0a4d3da8c1e3967b7e0ad28aa5db786ea08,10.12
40,Reverse Linked List,http://www.scaler.com/admin/new_problems/40,https://scaler-production-domestic.s3.ap-south-1.amazonaws.com/videos/videos/000/000/131/original/Reverse_A_Linked_List_Conv.m4v?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIDNNIRGHAQUQRWYA%2F20211227%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20211227T012539Z&X-Amz-Expires=561600&X-Amz-SignedHeaders=host&X-Amz-Signature=6141b0ba2c5dd11a18ab5b030cbade73ed2c5d6dede15eaf4729eb0348075ee0,15.2
4390,Flatten a linked list,http://www.scaler.com/admin/new_problems/4390,https://scaler-production-domestic.s3.ap-south-1.amazonaws.com/videos/videos/000/000/132/original/Flatten_a_Linked_List_Conv.m4v?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIDNNIRGHAQUQRWYA%2F20211227%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20211227T012539Z&X-Amz-Expires=561600&X-Amz-SignedHeaders=host&X-Amz-Signature=8131a934fa656e9914186fc75a3c1dfa36b2039a0f2d41f6ed5b2226a51d484e,19.32
44,Intersection of Linked Lists,http://www.scaler.com/admin/new_problems/44,https://scaler-production-domestic.s3.ap-south-1.amazonaws.com/videos/videos/000/000/133/original/Intersection_of_LinkedLists_Conv.m4v?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIDNNIRGHAQUQRWYA%2F20211227%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20211227T012539Z&X-Amz-Expires=561600&X-Amz-SignedHeaders=host&X-Amz-Signature=c1e988d2664977201a55554434d434521218091563c531c7abe6bb8f79d2f19d,12.08
4677,Odd and Even Levels,http://www.scaler.com/admin/new_problems/4677,https://scaler-production-domestic.s3.ap-south-1.amazonaws.com/videos/videos/000/000/135/original/Difference_between_odd_and_even_levels.MP4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIDNNIRGHAQUQRWYA%2F20211227%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20211227T012539Z&X-Amz-Expires=561600&X-Amz-SignedHeaders=host&X-Amz-Signature=696fc78cfbd0844f62964437fc0f84572a8538234cf017a818c20f46d2eb9171,8.68
9107,Number of Subarray,http://www.scaler.com/admin/new_problems/9107,https://scaler-production-domestic.s3.ap-south-1.amazonaws.com/videos/videos/000/000/140/original/NumberOfSubarray_updated.mov?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIDNNIRGHAQUQRWYA%2F20211227%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20211227T012539Z&X-Amz-Expires=561600&X-Amz-SignedHeaders=host&X-Amz-Signature=26e388149d999ca7cf73ff519e82a7870fab062c05990ad23f0d52aa2fe73b86,16.27
4401,Sum binary tree or not,http://www.scaler.com/admin/new_problems/4401,https://scaler-production-domestic.s3.ap-south-1.amazonaws.com/videos/videos/000/000/147/original/Sum_Binary_Tree_or_not_Conv.m4v?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIDNNIRGHAQUQRWYA%2F20211227%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20211227T012539Z&X-Amz-Expires=561600&X-Amz-SignedHeaders=host&X-Amz-Signature=4a3e76049d09303d5cc9f68dc2953bd6486382ff52d56085aa6ec4701d40f32e,10.17
